2026-02-03 07:49:15,146 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:49:48,234 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:50:14,019 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:50:21,051 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:50:22,035 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:50:35,446 | [DEBUG] | smart_agri_logger | get_crops_by_category | Line 373 | Categories - OTHER
2026-02-03 07:50:44,192 | [DEBUG] | smart_agri_logger | get_crops_by_category | Line 373 | Categories - OTHER
2026-02-03 07:50:45,482 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:50:54,275 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:54:55,339 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:54:58,442 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:56:58,752 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 07:57:36,004 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 08:59:53,517 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 08:59:58,262 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 09:08:31,225 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:09:21,428 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:09:21,431 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:09:21,440 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:09:21,894 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:16:22,978 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:16:54,708 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:17:17,081 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:17:17,087 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:17:20,158 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:17:45,921 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-03 09:18:01,049 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:18:19,552 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:18:32,783 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:19:41,246 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:19:56,309 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:20:26,757 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:20:42,909 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:20:42,912 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:21:16,387 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:21:40,092 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:22:17,061 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:22:22,000 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:22:31,047 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:22:43,601 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
2026-02-03 09:23:04,550 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 0 crops for farmer 7b1fb094-87ce-45e7-b16a-ec2dd0eea5b0 (skip=0, limit=100)
