2026-01-23 07:07:38,537 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 07:29:18,519 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 07:29:25,733 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 07:30:27,602 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 07:30:58,648 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 07:33:24,788 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 07:34:19,115 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 07:36:26,994 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 07:39:27,428 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 08:38:19,417 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 09:12:22,825 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 09:12:36,603 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 09:25:44,197 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 09:28:23,715 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:26:02,027 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:26:28,879 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:26:29,603 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:26:33,441 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:41:00,727 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:58:12,177 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:58:46,856 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:58:53,897 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 15:59:03,538 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 16:03:09,273 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 16:04:13,151 | [DEBUG] | smart_agri_logger | get_crops_by_category | Line 244 | Categories - SPICES
2026-01-23 16:04:20,852 | [DEBUG] | smart_agri_logger | get_crops_by_category | Line 244 | Categories - SPICES
2026-01-23 16:04:35,001 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 16:04:36,512 | [DEBUG] | smart_agri_logger | get_crops_by_category | Line 244 | Categories - SPICES
2026-01-23 16:04:38,283 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 16:04:39,766 | [DEBUG] | smart_agri_logger | get_crops_by_category | Line 244 | Categories - SPICES
2026-01-23 16:04:42,033 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-23 16:04:43,325 | [DEBUG] | smart_agri_logger | get_crops_by_category | Line 244 | Categories - OTHER
