2026-01-21 17:21:25,988 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:28:02,830 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:28:15,008 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:29:10,098 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:30:02,943 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:30:12,940 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:36:50,051 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:37:23,150 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:38:50,484 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:41:34,441 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 17:51:18,668 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-21 22:25:54,677 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
