2026-01-30 07:22:27,348 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:22:40,612 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:23:17,848 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:23:42,533 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:23:43,543 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:23:52,883 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:23:56,544 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:24:57,993 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:25:14,182 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:25:29,771 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:27:01,195 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:27:09,126 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:27:22,961 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:27:37,591 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:27:46,978 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:27:49,958 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:31:23,737 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:31:33,295 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:31:52,102 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:32:20,175 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:32:34,359 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:32:44,722 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:33:45,409 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
2026-01-30 07:34:01,332 | [INFO] | smart_agri_logger | get_all_crops | Line 211 | Fetched 24 crops (skip=0, limit=100)
