2026-01-19 07:27:46,126 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:28:25,135 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:28:27,850 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:28:29,186 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:28:35,297 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:28:53,040 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:28:59,531 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:29:04,002 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:29:12,413 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:29:14,052 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:30:28,242 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:30:59,168 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:31:15,117 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:31:22,045 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:31:25,712 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:31:28,371 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:31:31,989 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:31:48,003 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:32:23,002 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:32:36,879 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
2026-01-19 07:32:38,004 | [INFO] | smart_agri_logger | get_all_crops | Line 210 | Fetched 24 crops (skip=0, limit=100)
