2026-02-02 05:48:19,753 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-02 05:48:50,670 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 05:50:48,720 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 05:52:31,933 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 05:53:04,540 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 05:54:08,965 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:03:09,733 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:06:35,494 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:07:24,795 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:07:46,714 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:09:51,865 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:10:33,165 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:11:46,222 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:12:09,096 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:12:10,352 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:12:18,644 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:12:44,620 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:13:03,455 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:13:11,014 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:13:17,158 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:13:32,020 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:13:57,859 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:14:23,336 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:15:13,363 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:15:14,157 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:15:35,162 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
2026-02-02 06:15:35,221 | [INFO] | smart_agri_logger | get_my_crops | Line 337 | Fetched 25 crops for farmer 7d577d72-4704-48d1-a0f2-763c02f04533 (skip=0, limit=100)
